agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
heuristic,Heuristic,1036,4.812000143666902,5.101655082753696,0.9116,60.0,120,99.9468824045634,99.995,calm
pov,POV,1036,4.938046902344815,4.938046902344815,1.0,60.0,118,99.945622,99.995,calm
random,Random,1036,2.925573382746381,3.080754037701207,0.9541,60.0,94,99.96574572895923,99.995,calm
twap,TWAP,1036,4.952347617381297,4.952347617381297,1.0,57.5,20,99.945479,99.995,calm
vwap,VWAP,1036,3.2193609680479485,3.2193609680479485,1.0,57.5,20,99.962808,99.995,calm
ac,Almgren-Chriss,1037,4.070403520176122,4.070403520176122,1.0,57.5,20,99.954298,99.995,calm
heuristic,Heuristic,1037,3.579342854178684,3.8558927946398014,0.8994,60.0,120,99.95920836112964,99.995,calm
pov,POV,1037,3.605980299014313,3.605980299014313,1.0,56.0,108,99.958942,99.995,calm
random,Random,1037,3.52657632881709,3.52657632881709,1.0,56.5,92,99.959736,99.995,calm
twap,TWAP,1037,4.28351417570793,4.28351417570793,1.0,57.5,20,99.95216700000002,99.995,calm
vwap,VWAP,1037,3.000950047502174,3.000950047502174,1.0,57.5,20,99.964992,99.995,calm
ac,Almgren-Chriss,1038,4.00109994500265,4.00109994500265,1.0,57.5,20,99.964987,100.005,calm
heuristic,Heuristic,1038,3.2652798873039486,3.678816059197128,0.8936,60.0,120,99.972345568487,100.005,calm
pov,POV,1038,1.774211289434658,1.774211289434658,1.0,55.0,108,99.987257,100.005,calm
random,Random,1038,3.788206128088575,4.046797660117474,0.9324,60.0,96,99.96711604461603,100.005,calm
twap,TWAP,1038,5.39633018349086,5.39633018349086,1.0,57.5,20,99.951034,100.005,calm
vwap,VWAP,1038,4.147892605370072,4.147892605370072,1.0,57.5,20,99.963519,100.005,calm
ac,Almgren-Chriss,1039,2.388119405971128,2.388119405971128,1.0,57.5,20,99.97112,99.995,calm
heuristic,Heuristic,1039,2.5794993701452458,2.850842542127977,0.8958,60.0,120,99.96920629604824,99.995,calm
pov,POV,1039,3.2312615630790327,3.2312615630790327,1.0,54.0,107,99.962689,99.995,calm
random,Random,1039,4.211510575529624,4.211510575529624,1.0,57.0,93,99.952887,99.995,calm
twap,TWAP,1039,1.949297464872353,1.949297464872353,1.0,57.5,20,99.975508,99.995,calm
vwap,VWAP,1039,4.374718735936695,4.374718735936695,1.0,57.5,20,99.951255,99.995,calm
ac,Almgren-Chriss,1040,4.924746237311036,4.924746237311036,1.0,57.5,20,99.945755,99.995,calm
heuristic,Heuristic,1040,2.570439275373781,2.9980499024954246,0.8946,60.0,120,99.9692968924659,99.995,calm
pov,POV,1040,4.547527376368996,4.547527376368996,1.0,54.0,106,99.949527,99.995,calm
random,Random,1040,4.509294324781111,4.718535926796793,0.9483,60.0,90,99.94990931139937,99.995,calm
twap,TWAP,1040,4.16420821041119,4.16420821041119,1.0,57.5,20,99.95336,99.995,calm
vwap,VWAP,1040,4.056502825141449,4.056502825141449,1.0,57.5,20,99.954437,99.995,calm
ac,Almgren-Chriss,1041,4.2887855607226335,4.2887855607226335,1.0,57.5,20,99.96211,100.005,calm
heuristic,Heuristic,1041,4.834819470010849,5.270036498175226,0.9067,60.0,120,99.95664938789017,100.005,calm
pov,POV,1041,4.5484725763705525,4.5484725763705525,1.0,53.5,106,99.95951300000002,100.005,calm
random,Random,1041,4.15369231538357,4.15369231538357,1.0,55.0,93,99.963461,100.005,calm
twap,TWAP,1041,2.193890305484231,2.193890305484231,1.0,57.5,20,99.98306,100.005,calm
vwap,VWAP,1041,4.812959352032904,4.812959352032904,1.0,57.5,20,99.956868,100.005,calm
ac,Almgren-Chriss,1042,4.910645532277278,4.910645532277278,1.0,57.5,20,99.945896,99.995,calm
heuristic,Heuristic,1042,3.0284118120580863,3.286264313215012,0.9094,60.0,120,99.96471739608532,99.995,calm
pov,POV,1042,4.595129756487877,4.595129756487877,1.0,60.0,118,99.949051,99.995,calm
random,Random,1042,1.7384869243464005,1.7384869243464005,1.0,52.5,89,99.977616,99.995,calm
twap,TWAP,1042,3.2817640882046635,3.2817640882046635,1.0,57.5,20,99.962184,99.995,calm
vwap,VWAP,1042,3.649982499124188,3.649982499124188,1.0,57.5,20,99.958502,99.995,calm
ac,Almgren-Chriss,1043,2.845015498451016,2.845015498451016,1.0,57.5,20,99.981547,100.01,calm
heuristic,Heuristic,1043,3.017941968853237,3.459954004600183,0.9099,60.0,120,99.9798175623695,100.01,calm
pov,POV,1043,4.247875212478042,4.247875212478042,1.0,56.5,110,99.96751700000002,100.01,calm
random,Random,1043,3.98730126987269,3.98730126987269,1.0,55.5,90,99.970123,100.01,calm
